,assortativity,purity,kind
0,0.0,0.7840279801807053,all
1,0.0,0.7758620689655172,all
2,0.0,0.9781021897810219,all
3,0.0,0.8594491927825261,all
4,0.0,0.7704545454545455,all
5,0.0,0.8235294117647058,all
6,0.0,0.9408284023668638,all
7,0.0,0.8164983164983165,all
8,0.0,0.9903846153846154,all
9,0.0,0.8840984697272123,all
10,-2.2652807194778017e-16,0.8672531769305962,all
11,0.0,0.9462025316455696,all
12,0.0,0.9179253014869453,all
13,2.2325163147930957e-16,0.9144736842105263,all
14,0.0,0.7629310344827587,all
15,0.0,0.9879501574695331,all
16,0.0,0.9187908496732027,all
17,0.0,0.778306698401904,all
18,0.0,0.889763779527559,all
19,0.0,0.9277597402597402,all
20,0.0,0.8706896551724138,all
21,0.0,0.8580901856763926,all
22,0.0,0.98828125,all
23,0.0,0.8764044943820224,all
24,0.0,0.9820087609511889,all
25,0.0,0.8775847808105872,all
26,0.0,0.9805250831998027,all
27,0.0,0.9884615384615385,all
28,0.0,0.7845528455284553,all
29,0.0,0.8858974358974359,all
30,0.0,0.9483660130718954,all
31,0.0,0.9257425742574257,all
32,0.0,0.7085120068610635,all
33,0.0,0.936046511627907,all
34,0.0,0.9364474739374499,all
35,0.0,0.7295454545454545,all
36,0.0,0.8345959595959596,all
37,0.0,0.9256944444444444,all
38,2.221731636928889e-16,0.984375,all
39,0.0,0.6325046904315197,all
40,0.0,0.9166666666666667,all
41,-2.241543220348492e-16,0.8076923076923077,all
42,0.0,0.9559996531992371,all
43,0.0,0.8743114909781576,all
44,0.0,0.9221311475409837,all
45,0.0,0.8033468559837729,all
46,-2.2689121610937963e-16,0.8041187739463602,all
47,-2.221092851441207e-16,0.9857142857142858,all
48,0.0,0.9705882352941176,all
49,0.0,0.9551282051282051,all
50,0.0,0.976923076923077,all
51,0.0,0.9862835959221501,all
52,-2.2412289126931196e-16,0.8599547511312218,all
53,0.0,0.8980801806888763,all
54,0.0,0.9959677419354839,all
55,0.0,0.884375,all
56,0.0,0.9481707317073171,all
57,0.0,0.8771304347826088,all
58,0.0,0.9107142857142857,all
59,0.0,0.9025157232704403,all
