id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
548,Crash,/wiki/Crash_(2008_TV_series),226,157,"54
                                ·
                                (23.9%)",542,21
549,Crazy Ex-Girlfriend,/wiki/Crazy_Ex-Girlfriend_(TV_series),6,???,"10
                                ·
                                (100%)","1,635",1
550,Crime Story,/wiki/Crime_Story_(TV_series),497,225,"168
                                ·
                                (33.8%)","3,969",16
551,Criminal Minds,/wiki/Criminal_Minds,"6,557","2,757","842
                                ·
                                (12.8%)","1,867",615
552,Criminal Minds: Beyond Borders,/wiki/Criminal_Minds:_Beyond_Borders,559,150,"352
                                ·
                                (63%)",541,36
553,Criminal Minds: Suspect Behavior,/wiki/Criminal_Minds:_Suspect_Behavior,483,287,"102
                                ·
                                (21.1%)",455,26
554,Crisis,/wiki/Crisis_(TV_series),454,147,"220
                                ·
                                (48.5%)",344,31
555,The Crocodile Hunter,/wiki/The_Crocodile_Hunter,"1,091",600,"180
                                ·
                                (16.5%)",124,212
556,Crossing Jordan,/wiki/Crossing_Jordan,"1,105",604,"150
                                ·
                                (13.6%)",977,57
557,Crossroads,/wiki/Crossroads_(1955_TV_series),129,47,"88
                                ·
                                (68.2%)",215,1
558,Crowded,/wiki/Crowded_(TV_series),341,115,"187
                                ·
                                (54.8%)",291,28
559,Crusade,/wiki/Crusade_(TV_series),409,239,"91
                                ·
                                (22.2%)","1,212",23
560,CSI: Crime Scene Investigation,/wiki/CSI:_Crime_Scene_Investigation,"8,986","3,921","1,040
                                ·
                                (11.6%)","3,287",893
561,CSI: Cyber,/wiki/CSI:_Cyber,918,358,"261
                                ·
                                (28.4%)","1,126",101
562,CSI: Miami,/wiki/CSI:_Miami,"5,497","2,371","753
                                ·
                                (13.7%)","3,371",526
563,CSI: New York,/wiki/CSI:_NY,"4,305","2,021","501
                                ·
                                (11.6%)",613,396
564,Cupid,/wiki/Cupid_(1998_TV_series),206,129,"57
                                ·
                                (27.7%)",396,11
565,Cupid,/wiki/Cupid_(2009_TV_series),187,128,"47
                                ·
                                (25.1%)",290,11
566,Curb Your Enthusiasm,/wiki/Curb_Your_Enthusiasm,"3,218","1,716","592
                                ·
                                (18.4%)","2,625",315
567,Curiosity Shop,/wiki/Curiosity_Shop,75,54,"29
                                ·
                                (38.7%)",372,0
568,A Current Affair,/wiki/A_Current_Affair_(U.S._TV_series),1,???,"1
                                ·
                                (100%)",437,0
569,Cursed,/wiki/Cursed_(TV_series),1,???,"1
                                ·
                                (100%)",143,0
570,Cuts,/wiki/Cuts,216,131,"52
                                ·
                                (24.1%)",154,22
571,Cyberchase,/wiki/Cyberchase,"2,771","1,124","568
                                ·
                                (20.5%)","1,288",275
572,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=6,NA,NA,NA,NA,NA
573,Daddio,/wiki/Daddio,118,77,"42
                                ·
                                (35.6%)",164,4
574,DAG,/wiki/DAG_(U.S._TV_series),90,54,"35
                                ·
                                (38.9%)",219,5
575,The Daily Show,/wiki/The_Daily_Show,"6,687","3,231","850
                                ·
                                (12.7%)","9,036",708
576,Daktari,/wiki/Daktari,239,141,"67
                                ·
                                (28%)",769,10
577,Dallas,/wiki/Dallas_(1978_TV_series),"3,284","1,298","688
                                ·
                                (21%)","8,738",130
578,Dallas,/wiki/Dallas_(2012_TV_series),"1,752",702,"425
                                ·
                                (24.3%)","1,564",141
579,Damage Control,/wiki/Damage_Control_(TV_series),111,69,"48
                                ·
                                (43.2%)",262,4
580,Damages,/wiki/Damages_(TV_series),"1,972",937,"374
                                ·
                                (19%)","6,838",87
581,Dan August,/wiki/Dan_August,150,96,"46
                                ·
                                (30.7%)",605,2
582,The Dana Carvey Show,/wiki/The_Dana_Carvey_Show,278,191,"59
                                ·
                                (21.2%)","2,159",14
583,Dance Fever,/wiki/Dance_Fever,127,76,"43
                                ·
                                (33.9%)",325,8
584,Dance Moms,/wiki/Dance_Moms,"6,392","2,323","923
                                ·
                                (14.4%)","1,081",964
585,Dance Moms: Miami,/wiki/Dance_Moms:_Miami,537,261,"129
                                ·
                                (24%)",209,78
586,Dance on Sunset,/wiki/Dance_on_Sunset,653,309,"182
                                ·
                                (27.9%)","1,280",44
587,Dancing with the Stars,/wiki/Dancing_with_the_Stars_(U.S._TV_series),"11,080","3,561","1,187
                                ·
                                (10.7%)","3,364",734
588,Daniel Boone,/wiki/Daniel_Boone_(1964_TV_series),316,205,"59
                                ·
                                (18.7%)","1,308",17
589,Danny Phantom,/wiki/Danny_Phantom,"5,990","2,647","568
                                ·
                                (9.5%)","2,376",739
590,The Danny Thomas Show,/wiki/The_Danny_Thomas_Show,377,197,"95
                                ·
                                (25.2%)","2,017",8
591,Dante's Cove,/wiki/Dante%27s_Cove,690,229,"375
                                ·
                                (54.3%)","1,137",76
592,Daredevil,/wiki/Daredevil_(TV_series),"1,953",543,"892
                                ·
                                (45.7%)","4,270",322
593,Daria,/wiki/Daria,"1,880",944,"392
                                ·
                                (20.9%)","2,438",178
594,Dark Angel,/wiki/Dark_Angel_(2000_TV_series),"2,291",836,"947
                                ·
                                (41.3%)","4,980",161
595,Dark Blue,/wiki/Dark_Blue_(TV_series),378,191,"107
                                ·
                                (28.3%)",975,11
596,Dark Realm,/wiki/Dark_Realm,42,26,"22
                                ·
                                (52.4%)",50,0
597,Dark Shadows,/wiki/Dark_Shadows,"2,050",835,"424
                                ·
                                (20.7%)","4,770",111
598,Dark Shadows,/wiki/Dark_Shadows_(1991_TV_series),180,86,"85
                                ·
                                (47.2%)",667,7
599,Dark Skies,/wiki/Dark_Skies,331,204,"86
                                ·
                                (26%)","1,240",15
600,Date My Mom,/wiki/Date_My_Mom,150,122,"28
                                ·
                                (18.7%)",206,22
601,Date with the Angels,/wiki/Date_with_the_Angels,68,39,"32
                                ·
                                (47.1%)",290,4
602,Dateline NBC,/wiki/Dateline_NBC,805,452,"141
                                ·
                                (17.5%)","2,225",58
603,The Dating Game,/wiki/The_Dating_Game,594,364,"81
                                ·
                                (13.6%)","1,583",23
604,Dave's World,/wiki/Dave%27s_World,165,113,"37
                                ·
                                (22.4%)",424,5
605,Davey and Goliath,/wiki/Davey_and_Goliath,595,359,"108
                                ·
                                (18.2%)","2,002",34
606,David Cassidy: Man Under Cover,/wiki/David_Cassidy:_Man_Under_Cover,1,???,"1
                                ·
                                (100%)",239,0
607,The David Letterman Show,/wiki/The_David_Letterman_Show,260,158,"67
                                ·
                                (25.8%)",971,23
608,Davy Crockett,/wiki/Davy_Crockett_(TV_miniseries),1,???,"1
                                ·
                                (100%)","1,189",0
609,Dawson's Creek,/wiki/Dawson%27s_Creek,"2,475","1,376","367
                                ·
                                (14.8%)","3,249",176
610,Day Break,/wiki/Day_Break,931,443,"226
                                ·
                                (24.3%)",676,64
611,Day by Day,/wiki/Day_by_Day_(TV_series),194,115,"57
                                ·
                                (29.4%)",624,5
612,The Days,/wiki/The_Days_(TV_series),98,68,"31
                                ·
                                (31.6%)",209,6
613,The Days and Nights of Molly Dodd,/wiki/The_Days_and_Nights_of_Molly_Dodd,121,83,"35
                                ·
                                (28.9%)",319,1
614,Days of Our Lives,/wiki/Days_of_Our_Lives,"7,846","2,209","2,219
                                ·
                                (28.3%)","6,356",518
615,Dead Last,/wiki/Dead_Last,83,56,"29
                                ·
                                (34.9%)",177,1
616,Dead Like Me,/wiki/Dead_Like_Me,"2,064",934,"582
                                ·
                                (28.2%)","2,353",157
617,The Dead Zone,/wiki/The_Dead_Zone_(TV_series),597,375,"92
                                ·
                                (15.4%)",437,25
618,Deadliest Catch,/wiki/Deadliest_Catch,"2,042",887,"552
                                ·
                                (27%)","4,923",218
619,Deadly Games,/wiki/Deadly_Games,207,93,"105
                                ·
                                (50.7%)",642,11
620,Deadwood,/wiki/Deadwood_(TV_series),"1,860",874,"523
                                ·
                                (28.1%)","4,515",172
621,Deal or No Deal,/wiki/Deal_or_No_Deal_(U.S._game_show),"4,510","1,435","1,221
                                ·
                                (27.1%)","4,582",210
622,The Dean Martin Show,/wiki/The_Dean_Martin_Show,337,141,"139
                                ·
                                (41.2%)","1,400",7
623,Dear John,/wiki/Dear_John_(U.S._TV_series),223,123,"80
                                ·
                                (35.9%)",467,43
624,Death Valley Days,/wiki/Death_Valley_Days,883,200,"502
                                ·
                                (56.9%)","1,373",8
625,The Debbie Reynolds Show,/wiki/The_Debbie_Reynolds_Show,57,35,"24
                                ·
                                (42.1%)",243,0
626,Def Comedy Jam,/wiki/Def_Comedy_Jam,238,150,"67
                                ·
                                (28.2%)",137,9
627,The Defenders,/wiki/The_Defenders_(1961_TV_series),171,112,"47
                                ·
                                (27.5%)",795,6
628,The Defenders,/wiki/The_Defenders_(2010_TV_series),219,144,"52
                                ·
                                (23.7%)",370,16
629,The Defenders,/wiki/The_Defenders_(miniseries),"1,287",335,"686
                                ·
                                (53.3%)","6,304",220
630,Delta House,/wiki/Delta_House,152,85,"58
                                ·
                                (38.2%)",441,4
631,Delvecchio,/wiki/Judd_Hirsch#Career,646,439,"84
                                ·
                                (13%)",849,33
632,Dennis the Menace,/wiki/Dennis_the_Menace_(1959_TV_series),616,293,"123
                                ·
                                (20%)","1,925",14
633,Dennis the Menace,/wiki/Dennis_the_Menace_(1986_TV_series),661,323,"151
                                ·
                                (22.8%)",596,69
634,Dennis Miller Live,/wiki/Dennis_Miller_Live,117,80,"36
                                ·
                                (30.8%)",555,5
635,The Dennis Miller Show,/wiki/The_Dennis_Miller_Show#The_Dennis_Miller_Show,2,???,"3
                                ·
                                (100%)","14,955",0
636,The Dennis O'Keefe Show,/wiki/The_Dennis_O%27Keefe_Show,75,40,"42
                                ·
                                (56%)",186,1
637,Deputy Dawg,/wiki/Deputy_Dawg,251,154,"66
                                ·
                                (26.3%)",464,14
638,Designing Women,/wiki/Designing_Women,992,496,"164
                                ·
                                (16.5%)","1,098",28
639,Desire,/wiki/Desire_(TV_series),319,173,"98
                                ·
                                (30.7%)",676,12
640,Desperate Housewives,/wiki/Desperate_Housewives,"11,517","4,479","2,701
                                ·
                                (23.5%)","6,976","1,063"
641,Detroit 1-8-7,/wiki/Detroit_1-8-7,530,195,"234
                                ·
                                (44.2%)","1,761",53
642,Dexter,/wiki/Dexter_(TV_series),"6,417","3,599","664
                                ·
                                (10.3%)","3,779",893
643,Dharma and Greg,/wiki/Dharma_and_Greg,1,???,"1
                                ·
                                (100%)",742,0
644,Diagnosis: Murder,/wiki/Diagnosis:_Murder,"1,504",710,"202
                                ·
                                (13.4%)","1,735",54
645,The Dick Cavett Show,/wiki/The_Dick_Cavett_Show,482,269,"88
                                ·
                                (18.3%)","3,500",11
646,The Dick Clark Show,/wiki/The_Dick_Clark_Show,79,46,"39
                                ·
                                (49.4%)",601,0
647,Dick Clark's New Year's Rockin' Eve,/wiki/Dick_Clark%27s_New_Year%27s_Rockin%27_Eve_with_Ryan_Seacrest,4,???,"2
                                ·
                                (50%)","4,478",0
648,The Dick Tracy Show,/wiki/The_Dick_Tracy_Show,165,100,"51
                                ·
                                (30.9%)","1,083",3
649,The Dick Van Dyke Show,/wiki/The_Dick_Van_Dyke_Show,"1,218",560,"315
                                ·
                                (25.9%)","1,165",134
650,A Different World,/wiki/A_Different_World_(TV_series),1,???,"1
                                ·
                                (100%)","2,810",0
651,Diff'rent Strokes,/wiki/Diff%27rent_Strokes,"1,768",939,"294
                                ·
                                (16.6%)","2,999",231
652,Dilbert,/wiki/Dilbert_(TV_series),402,279,"67
                                ·
                                (16.7%)","1,115",28
653,Dinah!,/wiki/Dinah!,61,40,"29
                                ·
                                (47.5%)",290,2
654,The Dinah Shore Chevy Show,/wiki/The_Dinah_Shore_Chevy_Show,127,59,"65
                                ·
                                (51.2%)",415,4
655,The Dinah Shore Show,/wiki/The_Dinah_Shore_Show,44,27,"23
                                ·
                                (52.3%)",421,1
656,Dinosaurs,/wiki/Dinosaurs_(TV_series),"1,911",988,"363
                                ·
                                (19%)","1,379",253
657,DinoSquad,/wiki/DinoSquad,505,281,"97
                                ·
                                (19.2%)",296,43
658,Dirt,/wiki/Dirt_(TV_series),"1,074",598,"170
                                ·
                                (15.8%)","1,849",65
659,Dirty Jobs,/wiki/Dirty_Jobs,904,421,"326
                                ·
                                (36.1%)","2,086",113
660,Dirty Sexy Money,/wiki/Dirty_Sexy_Money,"1,121",597,"241
                                ·
                                (21.5%)","1,557",59
661,The Dirty South,/wiki/The_Dirty_South_(TV_series),1,???,"1
                                ·
                                (100%)","1,175",0
662,Discover Russian,/wiki/Discover_Russian,27,14,"22
                                ·
                                (81.5%)",94,2
663,Dismissed,/wiki/Dismissed_(TV_series),65,51,"23
                                ·
                                (35.4%)",117,2
664,The District,/wiki/The_District,246,172,"48
                                ·
                                (19.5%)",235,9
665,The Division,/wiki/The_Division,141,108,"34
                                ·
                                (24.1%)",196,7
666,Divorce Court,/wiki/Divorce_Court,470,201,"176
                                ·
                                (37.4%)","1,228",22
667,Do Not Disturb,/wiki/Do_Not_Disturb_(TV_series),145,85,"48
                                ·
                                (33.1%)",107,9
668,Do Over,/wiki/Do_Over,156,110,"36
                                ·
                                (23.1%)",456,13
669,Doc,/wiki/Doc_(1975_TV_series),62,44,"24
                                ·
                                (38.7%)",186,2
670,Doc,/wiki/Doc_(2001_TV_series),374,214,"87
                                ·
                                (23.3%)","1,114",32
671,Doctor Doctor,/wiki/Doctor_Doctor_(1989_TV_series),1,???,"1
                                ·
                                (100%)","1,167",0
672,Dog the Bounty Hunter,/wiki/Dog_the_Bounty_Hunter,"3,126","1,850","238
                                ·
                                (7.6%)","1,356",486
673,Dog Eat Dog,/wiki/Dog_Eat_Dog_(U.S._game_show),265,153,"70
                                ·
                                (26.4%)",434,19
674,Dog With a Blog,/wiki/Dog_With_a_Blog,1,???,"2
                                ·
                                (100%)",519,0
675,Dollhouse,/wiki/Dollhouse_(TV_series),"2,883","1,199","705
                                ·
                                (24.5%)","3,207",364
676,Dolly,/wiki/Dolly_(TV_series),120,78,"41
                                ·
                                (34.2%)",398,1
677,Dolly!,/wiki/Dolly!,100,61,"44
                                ·
                                (44%)",559,3
678,Dominion,/wiki/Dominion_(TV_series),376,157,"167
                                ·
                                (44.4%)",251,22
679,Donny & Marie,/wiki/Donny_%26_Marie_(1976_TV_series),340,161,"125
                                ·
                                (36.8%)",679,9
680,Donny & Marie,/wiki/Donny_%26_Marie_(1998_TV_series),78,60,"19
                                ·
                                (24.4%)",52,9
681,The Donna Reed Show,/wiki/The_Donna_Reed_Show,697,220,"336
                                ·
                                (48.2%)","2,448",24
682,Don't Forget the Lyrics!,/wiki/Don%27t_Forget_the_Lyrics!,249,115,"98
                                ·
                                (39.4%)","1,352",8
683,Don't Trust the B---- in Apartment 23,/wiki/Don%27t_Trust_the_B----_in_Apartment_23,"1,024",496,"265
                                ·
                                (25.9%)","1,093",111
684,"Doogie Howser, M.D.","/wiki/Doogie_Howser,_M.D.","1,136",621,"236
                                ·
                                (20.8%)",961,163
685,Dora the Explorer,/wiki/Dora_the_Explorer,"3,832","1,832","357
                                ·
                                (9.3%)","2,092",714
686,The Doris Day Show,/wiki/The_Doris_Day_Show,410,145,"189
                                ·
                                (46.1%)","1,631",8
687,Dot Comedy,/wiki/Dot_Comedy,73,54,"24
                                ·
                                (32.9%)",108,2
688,Double Dare,/wiki/Double_Dare_(1976_game_show),1,???,"1
                                ·
                                (100%)","1,170",0
689,Double Dare,/wiki/Double_Dare_(1986_game_show),1,???,"1
                                ·
                                (100%)","6,154",0
690,Double Dare 2000,/wiki/Double_Dare_2000,7,???,"6
                                ·
                                (85.7%)","6,154",1
691,Double Trouble,/wiki/Double_Trouble_(U.S._TV_series),146,90,"52
                                ·
                                (35.6%)",275,5
692,Doug,/wiki/Doug_(TV_series),"4,335","2,326","367
                                ·
                                (8.5%)","2,824",743
693,Downward Dog,/wiki/Downward_Dog_(TV_series),153,82,"74
                                ·
                                (48.4%)",224,6
694,Dr. Phil,/wiki/Dr._Phil_(TV_series),1,???,"1
                                ·
                                (100%)",789,0
695,"Dr. Quinn, Medicine Woman","/wiki/Dr._Quinn,_Medicine_Woman","1,069",591,"184
                                ·
                                (17.2%)","3,188",64
696,Dracula,/wiki/Dracula_(TV_series),507,255,"165
                                ·
                                (32.5%)",213,37
697,Dragnet,/wiki/Dragnet_(series),1,???,"1
                                ·
                                (100%)","2,267",0
698,Dragons: Riders of Berk,/wiki/Dragons:_Riders_of_Berk,2,???,"3
                                ·
                                (100%)","1,010",1
699,Drake & Josh,/wiki/Drake_%26_Josh,"12,220","5,448","1,259
                                ·
                                (10.3%)",678,"1,813"
700,Drawn Together,/wiki/Drawn_Together,"2,773","1,267","592
                                ·
                                (21.3%)","2,581",300
701,Dream On,/wiki/Dream_On_(TV_series),269,197,"34
                                ·
                                (12.6%)",752,11
702,The Dresden Files,/wiki/The_Dresden_Files_(TV_series),732,347,"222
                                ·
                                (30.3%)",594,51
703,The Drew Carey Show,/wiki/The_Drew_Carey_Show,"1,389",822,"157
                                ·
                                (11.3%)","2,793",68
704,Drew Carey's Green Screen Show,/wiki/Drew_Carey%27s_Green_Screen_Show,183,119,"54
                                ·
                                (29.5%)",607,7
705,Drexel's Class,/wiki/Drexel%27s_Class,1,???,"1
                                ·
                                (100%)",202,0
706,Drive,/wiki/Drive_(2007_TV_series),855,358,"257
                                ·
                                (30.1%)","4,374",92
707,Drop Dead Diva,/wiki/Drop_Dead_Diva,933,550,"148
                                ·
                                (15.9%)","1,789",45
708,Due South,/wiki/Due_South,"1,099",554,"271
                                ·
                                (24.7%)","3,034",35
709,The Dukes of Hazzard,/wiki/The_Dukes_of_Hazzard,"3,354","1,604","679
                                ·
                                (20.2%)","5,326",266
710,The Dumplings,/wiki/The_Dumplings_(TV_series),38,22,"26
                                ·
                                (68.4%)",304,0
711,Dungeon & Dragons,/wiki/Dungeons_%26_Dragons_(TV_series),"1,383",665,"227
                                ·
                                (16.4%)","1,049",98
712,Dusty's Trail,/wiki/Dusty%27s_Trail,220,116,"84
                                ·
                                (38.2%)",458,3
713,Dynasty,/wiki/Dynasty_(1981_TV_series),"2,313",792,"817
                                ·
                                (35.3%)","5,193",152
714,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=7,NA,NA,NA,NA,NA
715,E! True Hollywood Story,/wiki/E!_True_Hollywood_Story,874,487,"181
                                ·
                                (20.7%)",176,30
716,Early Edition,/wiki/Early_Edition,782,468,"143
                                ·
                                (18.3%)","2,465",36
717,Eastbound & Down,/wiki/Eastbound_%26_Down,"1,095",672,"166
                                ·
                                (15.2%)",885,88
718,Eastwick,/wiki/Eastwick_(TV_series),640,270,"237
                                ·
                                (37%)","1,576",34
719,Easy Money,/wiki/Easy_Money_(TV_series),152,90,"52
                                ·
                                (34.2%)",263,1
720,Ed,/wiki/Ed_(TV_series),453,309,"85
                                ·
                                (18.8%)",978,34
721,"Ed, Edd n Eddy","/wiki/Ed,_Edd_n_Eddy","8,467","2,341","1,789
                                ·
                                (21.1%)","3,629",696
722,The Ed Sullivan Show,/wiki/The_Ed_Sullivan_Show,"1,658",752,"383
                                ·
                                (23.1%)","6,960",90
723,The Eddie Capra Mysteries,/wiki/The_Eddie_Capra_Mysteries,38,19,"28
                                ·
                                (73.7%)",497,0
724,The Edge of Night,/wiki/The_Edge_of_Night,979,365,"254
                                ·
                                (25.9%)","4,820",30
725,"Eerie, Indiana","/wiki/Eerie,_Indiana",660,312,"264
                                ·
                                (40%)",996,33
726,Eight Is Enough,/wiki/Eight_Is_Enough,771,336,"252
                                ·
                                (32.7%)","1,535",25
727,The Electric Company,/wiki/The_Electric_Company_(1971_TV_series),1,???,"1
                                ·
                                (100%)","2,626",0
728,The Electric Company,/wiki/The_Electric_Company_(2009_TV_series),"1,318",558,"388
                                ·
                                (29.4%)",915,86
729,Elementary,/wiki/Elementary_(TV_series),"1,802",700,"547
                                ·
                                (30.4%)","2,098",228
730,Eleventh Hour,/wiki/Eleventh_Hour_(U.S._TV_series),413,210,"133
                                ·
                                (32.2%)",472,18
731,Eli Stone,/wiki/Eli_Stone,733,414,"141
                                ·
                                (19.2%)","2,114",46
732,Ellen,/wiki/Ellen_(TV_series),677,444,"79
                                ·
                                (11.7%)",813,48
733,The Ellen DeGeneres Show,/wiki/The_Ellen_DeGeneres_Show,"2,499","1,385","333
                                ·
                                (13.3%)","2,350",257
734,The Ellen Show,/wiki/The_Ellen_Show,287,203,"42
                                ·
                                (14.6%)",334,36
735,Ellery Queen,/wiki/Ellery_Queen_(TV_series),198,125,"53
                                ·
                                (26.8%)",829,8
736,Emergency!,/wiki/Emergency!,"1,423",646,"258
                                ·
                                (18.1%)","5,724",89
737,Emeril Live,/wiki/Emeril_Live,282,151,"93
                                ·
                                (33%)",252,18
738,Emily's Reasons Why Not,/wiki/Emily%27s_Reasons_Why_Not,260,148,"80
                                ·
                                (30.8%)",426,8
739,Empire,/wiki/Empire_(2015_TV_series),"2,649","1,094","463
                                ·
                                (17.5%)","1,801",315
740,Empty Nest,/wiki/Empty_Nest_(TV_series),2,???,"2
                                ·
                                (100%)","1,168",0
741,Endurance,/wiki/Endurance_(TV_series),"3,466",905,"1,090
                                ·
                                (31.4%)","3,479",264
742,Engaged and Underage,/wiki/Engaged_and_Underage,139,81,"53
                                ·
                                (38.1%)",37,9
743,Enlightened,/wiki/Enlightened_(TV_series),396,178,"170
                                ·
                                (42.9%)","1,540",19
744,Ensign O'Toole,/wiki/Ensign_O%27Toole,108,50,"64
                                ·
                                (59.3%)",950,2
745,Entertainment Tonight,/wiki/Entertainment_Tonight,"1,372",486,"558
                                ·
                                (40.7%)",595,80
746,Entourage,/wiki/Entourage_(U.S._TV_series),"5,408","2,738","1,042
                                ·
                                (19.3%)","6,030",721
747,Episodes,/wiki/Episodes_(TV_series),956,473,"193
                                ·
                                (20.4%)","1,264",82
748,The Equalizer,/wiki/The_Equalizer,784,419,"162
                                ·
                                (20.7%)","1,357",22
749,ER,/wiki/ER_(TV_series),"4,207","1,586","1,017
                                ·
                                (24.2%)","3,041",471
750,E/R,/wiki/E/R,222,139,"55
                                ·
                                (24.8%)",717,5
751,Essence of Emeril,/wiki/Essence_of_Emeril,45,32,"20
                                ·
                                (44.4%)",138,3
752,Eureka,/wiki/Eureka_(U.S._TV_series),"2,273","1,167","335
                                ·
                                (14.7%)","1,594",218
753,Eve,/wiki/Eve_(2003_TV_series),2,???,"5
                                ·
                                (100%)","3,107",1
754,The Eve Arden Show,/wiki/The_Eve_Arden_Show,81,39,"47
                                ·
                                (58%)",398,0
755,Even Stevens,/wiki/Even_Stevens,"1,532",896,"199
                                ·
                                (13%)",644,210
756,Evening Shade,/wiki/Evening_Shade,226,149,"49
                                ·
                                (21.7%)",760,12
757,The Event,/wiki/The_Event_(TV_series),1,???,"1
                                ·
                                (100%)","1,524",0
758,Everwood,/wiki/Everwood,"1,117",654,"156
                                ·
                                (14%)","5,148",64
759,Everybody Hates Chris,/wiki/Everybody_Hates_Chris,"4,015","1,989","650
                                ·
                                (16.2%)",585,478
760,Everybody Loves Raymond,/wiki/Everybody_Loves_Raymond,"3,637","2,033","316
                                ·
                                (8.7%)","1,629",359
761,The Evidence,/wiki/The_Evidence_(TV_series),150,92,"45
                                ·
                                (30%)",697,4
762,The Ex List,/wiki/The_Ex_List,249,143,"87
                                ·
                                (34.9%)",650,11
763,Exposed,/wiki/Exposed_(MTV_series),1,???,"1
                                ·
                                (100%)",351,0
764,Extant,/wiki/Extant_(TV_series),743,255,"336
                                ·
                                (45.2%)",467,75
765,Extra,/wiki/Extra_(U.S._TV_program),578,236,"235
                                ·
                                (40.7%)","1,112",31
766,Extreme Makeover,/wiki/Extreme_Makeover,422,297,"63
                                ·
                                (14.9%)",821,16
767,Extreme Makeover: Home Edition,/wiki/Extreme_Makeover:_Home_Edition,"1,471",795,"263
                                ·
                                (17.9%)","3,295",130
768,Extreme Makeover: Weight Loss Edition,/wiki/Extreme_Makeover:_Weight_Loss_Edition,1,???,"1
                                ·
                                (100%)",252,0
769,Eye for an Eye,/wiki/Eye_for_an_Eye_(TV_series),310,104,"193
                                ·
                                (62.3%)",695,12
770,The Eyes of Nye,/wiki/The_Eyes_of_Nye,121,89,"36
                                ·
                                (29.8%)",309,8
771,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=8,NA,NA,NA,NA,NA
772,F Troop,/wiki/F_Troop,"1,211",468,"378
                                ·
                                (31.2%)","3,060",38
773,The F.B.I.,/wiki/The_F.B.I._(TV_series),206,126,"56
                                ·
                                (27.2%)",478,6
774,The Face Is Familiar,/wiki/The_Face_Is_Familiar,75,42,"40
                                ·
                                (53.3%)",869,1
775,Face the Ace,/wiki/Face_the_Ace,50,31,"29
                                ·
                                (58%)",380,2
776,Face the Nation,/wiki/Face_the_Nation,348,212,"76
                                ·
                                (21.8%)","1,105",31
777,The Facts of Life,/wiki/The_Facts_of_Life_(TV_series),"1,868",794,"351
                                ·
                                (18.8%)","2,879",81
778,Fairly Legal,/wiki/Fairly_Legal,457,174,"201
                                ·
                                (44%)",780,46
779,The Fairly OddParents,/wiki/The_Fairly_OddParents,"11,827","5,258","1,321
                                ·
                                (11.2%)","2,104","1,488"
780,Faking It,/wiki/Faking_It_(2014_TV_series),1,???,"1
                                ·
                                (100%)",746,0
781,Falcon Crest,/wiki/Falcon_Crest,"1,222",482,"383
                                ·
                                (31.3%)","2,522",83
782,The Fall Guy,/wiki/The_Fall_Guy,339,227,"61
                                ·
                                (18%)",958,22
783,Falling Water,/wiki/Falling_Water_(TV_series),181,73,"93
                                ·
                                (51.4%)",227,7
784,Fame,/wiki/Fame_(1982_TV_series),461,251,"104
                                ·
                                (22.6%)","1,378",20
785,Fame,/wiki/Fame_(2003_TV_series),85,53,"36
                                ·
                                (42.4%)",660,2
786,Family,/wiki/Family_(1976_TV_series),292,165,"87
                                ·
                                (29.8%)","1,299",13
787,The Family,/wiki/The_Family_(U.S._TV_series),1,???,"1
                                ·
                                (100%)",703,0
788,Family Affair,/wiki/Family_Affair,631,300,"167
                                ·
                                (26.5%)",918,45
789,Family Affair,/wiki/Family_Affair_(2002_TV_series),52,7,"51
                                ·
                                (98.1%)",447,1
790,Family Dog,/wiki/Family_Dog_(TV_series),429,230,"99
                                ·
                                (23.1%)",903,10
791,Family Feud,/wiki/Family_Feud,"5,602","1,764","1,740
                                ·
                                (31.1%)","4,516",558
792,Family Foreman,/wiki/Family_Foreman,42,28,"21
                                ·
                                (50%)",53,0
793,Family Game Night,/wiki/Family_Game_Night_(TV_series),909,327,"327
                                ·
                                (36%)","5,881",84
794,Family Guy,/wiki/Family_Guy,"11,242","4,932","1,277
                                ·
                                (11.4%)","6,398","1,631"
795,The Family Man,/wiki/The_Family_Man_(U.S._TV_series),173,82,"81
                                ·
                                (46.8%)","1,425",3
796,Family Matters,/wiki/Family_Matters,"2,846","1,514","346
                                ·
                                (12.2%)","1,934",327
797,Family Ties,/wiki/Family_Ties,"1,396",689,"241
                                ·
                                (17.3%)","1,323",92
798,The Famous Teddy Z,/wiki/The_Famous_Teddy_Z,69,56,"21
                                ·
                                (30.4%)",262,1
799,Fantasy Island,/wiki/Fantasy_Island,883,513,"187
                                ·
                                (21.2%)","2,570",29
800,Fantasy Island,/wiki/Fantasy_Island_(1998_TV_series),23,12,"21
                                ·
                                (91.3%)",484,2
801,Faraway Hill,/wiki/Faraway_Hill,85,43,"44
                                ·
                                (51.8%)",464,0
802,Fargo,/wiki/Fargo_(TV_series),"1,673",552,"724
                                ·
                                (43.3%)","1,703",221
803,Farmer Wants a Wife,/wiki/Farmer_Wants_a_Wife_(U.S._TV_series),433,166,"194
                                ·
                                (44.8%)",628,26
