id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
60,Adventure Time,/wiki/Adventure_Time,"8,143","2,764","2,481
                                ·
                                (30.5%)","7,637","1,000"
61,Adventures in Paradise,/wiki/Adventures_in_Paradise_(TV_series),156,94,"54
                                ·
                                (34.6%)",213,1
62,Adventures in Wonderland,/wiki/Adventures_in_Wonderland,328,182,"82
                                ·
                                (25%)",217,27
63,The Adventures of Batman,/wiki/The_Adventures_of_Batman,212,99,"93
                                ·
                                (43.9%)",327,8
64,"The Adventures of Brisco County, Jr.","/wiki/The_Adventures_of_Brisco_County,_Jr.",961,340,"425
                                ·
                                (44.2%)","6,441",63
65,The Adventures of Jimmy Neutron: Boy Genius,/wiki/The_Adventures_of_Jimmy_Neutron:_Boy_Genius,"4,671","2,553","270
                                ·
                                (5.8%)","1,216",599
66,The Adventures of Kit Carson,/wiki/The_Adventures_of_Kit_Carson,109,48,"64
                                ·
                                (58.7%)",146,4
67,The Adventures of Ozzie and Harriet,/wiki/The_Adventures_of_Ozzie_and_Harriet,546,313,"105
                                ·
                                (19.2%)","2,203",31
68,The Adventures of Pete & Pete,/wiki/The_Adventures_of_Pete_%26_Pete,"1,389",768,"192
                                ·
                                (13.8%)","1,228",96
69,The Adventures of Rin Tin Tin,/wiki/The_Adventures_of_Rin_Tin_Tin,212,109,"89
                                ·
                                (42%)",648,7
70,Adventures of Sonic the Hedgehog,/wiki/Adventures_of_Sonic_the_Hedgehog,"2,730","1,300","324
                                ·
                                (11.9%)","3,327",313
71,The Adventures of Super Mario Bros. 3,/wiki/The_Adventures_of_Super_Mario_Bros._3,"1,190",551,"239
                                ·
                                (20.1%)",678,142
72,Adventures of Superman,/wiki/Adventures_of_Superman_(TV_series),"1,226",438,"478
                                ·
                                (39%)","4,649",70
73,AfterMASH,/wiki/AfterMASH,565,291,"162
                                ·
                                (28.7%)","1,472",15
74,Against the Wall,/wiki/Against_the_Wall_(TV_series),203,92,"96
                                ·
                                (47.3%)",535,7
75,The Agency,/wiki/The_Agency_(2001_TV_series),153,111,"37
                                ·
                                (24.2%)",231,3
76,Agents of S.H.I.E.L.D.,/wiki/Agents_of_S.H.I.E.L.D.,"4,569","1,159","2,205
                                ·
                                (48.3%)","9,310",812
77,Agent Carter,/wiki/Agent_Carter_(TV_series),"1,427",328,"870
                                ·
                                (61%)","3,602",252
78,Airwolf,/wiki/Airwolf,"1,677",704,"444
                                ·
                                (26.5%)","3,542",189
79,Alcatraz,/wiki/Alcatraz_(TV_series),"1,275",576,"292
                                ·
                                (22.9%)",928,132
80,Alex Haley's Queen,/wiki/Alex_Haley%27s_Queen,223,115,"83
                                ·
                                (37.2%)","2,909",10
