,Author,Time,URL,Favorites,Retweets,Verified,Text
595,ZeRuelabr,Sat Nov 23 11:20:14 +0000 2019,1198199575670075393,0,0,False,@anitasarkeesian I heard you are broke. Good riddance you scammer.
596,rcjackson,Sat Nov 23 11:15:12 +0000 2019,1198198305844539392,0,0,False,"@anitasarkeesian Even the name is sexist.  Why not call it the the Womendelorian, or just the Delorean?

Time for a boycott, oops, I mean girlcott."
597,cdunshee01,Sat Nov 23 11:14:22 +0000 2019,1198198098973073408,0,0,False,"@anitasarkeesian Oh, after 1 episode? Boohoo! Who is forcing you to watch?"
598,DarthSandoval,Sat Nov 23 11:09:53 +0000 2019,1198196966976606210,0,0,False,@anitasarkeesian Te abortaron a pedradas ¿verdad?
599,MAFJerkasaur,Sat Nov 23 10:58:15 +0000 2019,1198194040195276800,0,0,False,@anitasarkeesian Can’t even spell Mandalorian correctly.
600,jayjay172213,Sat Nov 23 10:51:03 +0000 2019,1198192231418679297,0,0,False,@anitasarkeesian And this exactly the reason the show has a high imdb rating. bcz there is no girl constantly moaning and looking for attention like you. Thanks for reminding us🤣
601,YourStarling,Sat Nov 23 10:50:00 +0000 2019,1198191965352779776,1,0,False,"@anitasarkeesian 1) The Armorer. 2) The Bechdel Test is an insufficient and outdated model of media assessment. 3) I'm a very outspoken feminist, so if I'm saying this ain't it... https://t.co/37eNdkIQ8j"
602,BombayMonkey123,Sat Nov 23 10:19:36 +0000 2019,1198184315768754177,0,0,False,@anitasarkeesian I think you need to have a Twitter detox for a while. Just have a walk around and come back when you are ready
603,YungChexxy,Sat Nov 23 10:01:04 +0000 2019,1198179652310749184,2,0,False,@anitasarkeesian Why do you exist?
604,MrJoats,Sat Nov 23 09:56:15 +0000 2019,1198178436533096449,0,0,False,@anitasarkeesian The highest ranking Mandalorian we’ve seen so far is a woman. Did you even watch it? What an idiot
605,spartanman27,Sat Nov 23 09:39:42 +0000 2019,1198174273006919681,0,0,False,@anitasarkeesian She probably didn’t even watch it
