,Author,Time,URL,Favorites,Retweets,Verified,Text
158,rickydee82,Tue Jan 07 22:11:08 +0000 2020,1214670831105855488,0,0,False,"@timandsid This goal was better, done against hall of famer Ray Bourque, btw it's awesome how we are talking about goal of the season in a year when we had 2!!! Lacrosse goals courtesy of Svechnikov
 https://t.co/f8MIM6u7d1"
159,sherryrobillar2,Tue Jan 07 22:10:21 +0000 2020,1214670636351512581,0,0,False,@timandsid It’s up there with Crosby’s gold medal goal and every goal at the juniors this year!!!!! 🇨🇦🇨🇦🇨🇦🇨🇦
160,Admelein,Tue Jan 07 22:08:05 +0000 2020,1214670065775206401,0,0,False,"@timandsid https://t.co/mSfMJobRUZ

Alex Burrows 2011 OT goal against the Blackhawks in Game 7"
161,iraca,Tue Jan 07 22:07:23 +0000 2020,1214669886305247232,0,0,False,@timandsid Lafleur too many men goal just because of the circumstances.
162,13bonney13,Tue Jan 07 22:07:10 +0000 2020,1214669831758323713,0,0,False,@timandsid Yes
163,TheBoy80554900,Tue Jan 07 22:06:10 +0000 2020,1214669580125298692,0,0,False,@timandsid Datsyuk shootout goal.
164,socalleafsfan,Tue Jan 07 22:03:48 +0000 2020,1214668984420913157,0,0,False,"@timandsid Ovi on his back I still can’t believe he did, and I think Gretzky’s reaction to it makes it the best"
165,JacquesThibad,Tue Jan 07 22:03:35 +0000 2020,1214668932315058182,0,0,False,@timandsid Nothing
166,ViBrKo2,Tue Jan 07 22:03:18 +0000 2020,1214668861359833088,1,0,False,"@timandsid None, Crosby's done sooo many more goals with better skills"
167,southsidegasltd,Tue Jan 07 22:02:12 +0000 2020,1214668585177509889,0,0,False,@timandsid Nope
168,allhockey96,Tue Jan 07 21:58:13 +0000 2020,1214667580482433024,0,0,False,@timandsid Well there are about 500 better to be quite honest with you and I don’t have the time to go through them to pick the best. That’s what you guys are for.
169,AndyEvans10,Tue Jan 07 21:57:51 +0000 2020,1214667490342649857,0,0,False,@timandsid Mario Lemieux handing Ray Bourque his jock strap in the ‘92 Conference final. https://t.co/HxBJ3bSEKU
170,BeckfordRexton,Tue Jan 07 21:54:53 +0000 2020,1214666741206454275,0,0,False,"@timandsid Wow.  Just Wow

I will say it again if that is the new NHL I am all in"
171,NickBo2785,Tue Jan 07 21:53:28 +0000 2020,1214666387278295040,0,0,False,@timandsid More like the worst defence you’ve ever seen
172,Chyup2,Tue Jan 07 21:52:06 +0000 2020,1214666040405311500,0,0,False,@timandsid https://t.co/lEEXsP3ykT
173,_TyJoseph,Tue Jan 07 21:50:47 +0000 2020,1214665710049214467,0,0,False,@timandsid How about this bad boy? https://t.co/nryknlSKiK
174,dale_t_smith316,Tue Jan 07 21:47:48 +0000 2020,1214664959499603968,0,0,False,@timandsid Jason Spezza when he was with @Senators against @CanadiensMTL
175,m109smitsy,Tue Jan 07 21:46:13 +0000 2020,1214664560235499522,0,0,False,"@timandsid No, Crosby’s goal in Buffalo vs Sabres!"
176,niceguyhaigh,Tue Jan 07 21:44:23 +0000 2020,1214664100686553094,0,0,False,@timandsid Without a single doubt.
177,MeanMrGene,Tue Jan 07 21:44:13 +0000 2020,1214664057644552192,0,0,False,@timandsid Matthews “no look” spin-o-Rama pass to Marner ..... for one.
178,DebTorok,Tue Jan 07 21:44:02 +0000 2020,1214664010123100160,0,0,False,"@timandsid Love him, but no."
179,Bowman27,Tue Jan 07 21:43:03 +0000 2020,1214663763506475009,0,0,False,@timandsid Toews against Colorado (might have been his rookie year) was a beauty
180,_TyJoseph,Tue Jan 07 21:42:04 +0000 2020,1214663518684712960,0,0,False,"@timandsid Saw this live, jaw dropped, stunned into silence https://t.co/6myXidkj4Z"
181,WRooks16,Tue Jan 07 21:39:18 +0000 2020,1214662822707089408,0,0,False,@timandsid Not even close!
182,chabby14,Tue Jan 07 21:38:56 +0000 2020,1214662728700194816,0,0,False,@timandsid Better than a Kawasaki bush party
183,ChmelykRod,Tue Jan 07 21:38:35 +0000 2020,1214662641458638848,0,0,False,@timandsid Top 5 goal all time
184,kylemcdougal3,Tue Jan 07 21:25:44 +0000 2020,1214659406119477249,2,0,False,@timandsid Absolutely not. What’s wrong with people just because a one great goal gets scored all of a sudden it could be the greatest ever? Like please. There are tons better than this. There’s a few mcdavid has scored in the nhl that are better!
185,LanceMarner,Tue Jan 07 21:25:07 +0000 2020,1214659249793650688,0,0,False,@timandsid Jason Spezza vs Montreal while he was with Ottawa
186,LanceMarner,Tue Jan 07 21:27:11 +0000 2020,1214659773121077248,0,0,False,@timandsid @tim_micallef @Sid_Seixeiro https://t.co/XKBvGPJ9hZ
187,OilerArmchairGM,Tue Jan 07 21:24:40 +0000 2020,1214659140368445443,4,0,False,@timandsid this isn't even close to the best ever lol.  not even mcdavids best
188,YEG_IVIars,Tue Jan 07 23:43:06 +0000 2020,1214693976613081088,1,0,False,@OilerArmchairGM @timandsid No shit. They lose their mind because it happened in Toronto. And they’re looking for better goals from everybody so they can say he’s not the best.
189,woolweather,Wed Jan 08 15:28:09 +0000 2020,1214931804655947776,0,0,False,"@YEG_IVIars @OilerArmchairGM @timandsid Unless, of course, we just want to see a bunch of great goals in one place. It was pretty good. Let's get all the fun ones."
190,gvess,Wed Jan 08 00:58:23 +0000 2020,1214712921932079106,3,0,False,@YEG_IVIars @OilerArmchairGM @timandsid Fans that played the sport and understand the game know that this was a great goal.
191,OilerArmchairGM,Wed Jan 08 01:24:39 +0000 2020,1214719531282599936,1,0,False,@gvess @YEG_IVIars @timandsid oh for sure i just mean not as many eyes would be on it.  mcdavid does this this all the time
192,OilerArmchairGM,Tue Jan 07 23:47:21 +0000 2020,1214695044092809217,1,0,False,@YEG_IVIars @timandsid if this goal .happened in Arizona or something no one would even be talking about it lol
193,Fubar219,Tue Jan 07 23:58:02 +0000 2020,1214697734873210880,1,0,False,@OilerArmchairGM @YEG_IVIars @timandsid Yeah not a chance in the age of internet and social media bro
194,arusso_9,Tue Jan 07 21:29:37 +0000 2020,1214660385405652992,1,0,False,@OilerArmchairGM @timandsid His goal against Columbus says hello
195,Just_Joshin_08,Tue Jan 07 21:24:38 +0000 2020,1214659130503266304,0,0,False,"@timandsid https://t.co/YYcEuTlFJB This goal, and keep in mind it's his first game back after missing 40+ games."
