,Author,Time,URL,Favorites,Retweets,Verified,Text
179,BehicAzmi,Tue Jan 07 21:22:45 +0000 2020,1214658655758553089,0,0,False,@timandsid You are joking right? It was an alright move nothing too special.. Special is an @ovi8 falling behind the back lacrosse goal.. that’s the best goal you will ever see 👀
180,OverlayDFShelp,Tue Jan 07 21:21:33 +0000 2020,1214658352036372481,1,1,False,"@timandsid goal reminds me of power moves from other sports like when guys push the basketball ahead and catchup to it , or a scoopturn in soccer or even like a stiff arm/ hurdle, but somehow mcjesus brought it to the NHL fake n go"
181,SSPR78,Tue Jan 07 21:19:21 +0000 2020,1214657799290003456,0,0,False,@timandsid Beauty!
182,churchyvcdc5,Tue Jan 07 21:19:10 +0000 2020,1214657753802821633,0,0,False,@timandsid Not all great goals were by superstars. Another one scored on A move made on Ray Bourque https://t.co/Zys60FEFI1
183,daryistotle,Tue Jan 07 21:18:57 +0000 2020,1214657700400902147,0,0,False,@timandsid Toast
184,ajleomusic,Tue Jan 07 21:18:45 +0000 2020,1214657650421485568,0,0,False,@timandsid Definitely the best fake on a d man I’ve seen.
185,mb_storey,Tue Jan 07 21:18:31 +0000 2020,1214657589990039558,0,0,False,@timandsid Tavares '17-'18 vs Blues.
186,churchyvcdc5,Tue Jan 07 21:15:05 +0000 2020,1214656726546419713,1,0,False,@timandsid Mario on Ray Bourque was pretty special.
187,BigDuke78,Tue Jan 07 21:14:47 +0000 2020,1214656649895395328,0,0,False,@timandsid Hoglander’s Michigan Zoro goal at World Juniors this year was insane!!
188,LeonardWolfe7,Tue Jan 07 21:13:17 +0000 2020,1214656272089276416,0,0,False,@timandsid One of the best
189,PeterFalcone57,Tue Jan 07 21:11:32 +0000 2020,1214655835156045824,0,0,False,@timandsid You Tube Denis Savard goals.🤔
190,big_chef_steele,Tue Jan 07 21:09:19 +0000 2020,1214655276239876096,0,0,False,"@timandsid This is a nice goal, but it's a 6 out of 10 at best. Rick Nash 2008 vs the Coyotes was far better. The Crosby 1 handler vs Buffalo is better too. #timandsid"
191,mgrewal94,Tue Jan 07 21:08:10 +0000 2020,1214654984945455104,0,0,False,"@timandsid ""Rick Nash how do you do"""
192,WaylonMcGill1,Tue Jan 07 21:04:23 +0000 2020,1214654032716926977,0,0,False,@timandsid Steals your  pocket change in a British phone booth dials up Mario Lemieux  between the Ray Bourque legs collect and emails the charges.
193,_StuntMan12_,Tue Jan 07 21:03:47 +0000 2020,1214653881654759425,1,0,False,@timandsid @skates89us yes best skill guy the game has ever seen right lol.
194,AlStilly19,Tue Jan 07 21:03:32 +0000 2020,1214653819755335681,0,0,False,@timandsid He sold that lock stock and barrel! What a move nice......
195,jeremy_weller,Tue Jan 07 21:02:00 +0000 2020,1214653433300434944,0,0,False,@timandsid It’s not even top 10
