,title,year,url,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
6406,Nevermore (novel),1995,/wiki/Nevermore_(novel),17,13,"13
                                ·
                                (76.5%)",87,0
6407,A Night in Terror Tower,1995,/wiki/A_Night_in_Terror_Tower,221,153,"46
                                ·
                                (20.8%)",637,17
6408,Oath of Swords,1995,/wiki/Oath_of_Swords,85,52,"37
                                ·
                                (43.5%)",1600,0
6409,The Oath (Frank E. Peretti novel),1995,/wiki/The_Oath_(Frank_E._Peretti_novel),132,90,"45
                                ·
                                (34.1%)",1867,9
6410,Ordinary Heroes (novel),1995,/wiki/Ordinary_Heroes_(novel),29,22,"17
                                ·
                                (58.6%)",101,0
6411,The Oversoul Seven Trilogy,1995,/wiki/The_Oversoul_Seven_Trilogy,59,31,"36
                                ·
                                (61%)",242,3
6412,The Paperboy (novel),1995,/wiki/The_Paperboy_(novel),51,38,"23
                                ·
                                (45.1%)",364,3
6413,Patriots (novel series),1995,/wiki/Patriots_(novel_series),430,110,"258
                                ·
                                (60%)",1812,9
6414,The People's Choice (novel),1995,/wiki/The_People%27s_Choice_(novel),58,30,"38
                                ·
                                (65.5%)",705,1
6415,Picture Perfect (novel),1995,/wiki/Picture_Perfect_(novel),46,30,"26
                                ·
                                (56.5%)",508,2
6416,Pillar of Fire (novel),1995,/wiki/Pillar_of_Fire_(novel),65,33,"41
                                ·
                                (63.1%)",299,0
6417,Poppy (novel),1995,/wiki/Poppy_(novel),132,55,"80
                                ·
                                (60.6%)",778,16
6418,Practical Magic (novel),1995,/wiki/Practical_Magic_(novel),55,40,"22
                                ·
                                (40%)",126,3
6419,Primary Inversion,1995,/wiki/Primary_Inversion,94,54,"46
                                ·
                                (48.9%)",1656,0
6420,Prizes (novel),1995,/wiki/Prizes_(novel),54,42,"22
                                ·
                                (40.7%)",758,5
6421,Proteus In The Underworld,1995,/wiki/Proteus_In_The_Underworld,31,28,"11
                                ·
                                (35.5%)",2033,1
6422,Proud Helios,1995,/wiki/Proud_Helios,40,28,"20
                                ·
                                (50%)",402,1
6423,Puerto Vallarta Squeeze,1995,/wiki/Puerto_Vallarta_Squeeze,73,56,"24
                                ·
                                (32.9%)",962,3
6424,The Puppy Sister,1995,/wiki/The_Puppy_Sister,52,34,"28
                                ·
                                (53.8%)",619,3
6425,The Rainmaker (novel),1995,/wiki/The_Rainmaker_(novel),160,116,"34
                                ·
                                (21.2%)",708,17
6426,Raptor Red,1995,/wiki/Raptor_Red,402,180,"169
                                ·
                                (42%)",2015,53
6427,The Rapture of Canaan,1995,/wiki/The_Rapture_of_Canaan,43,34,"18
                                ·
                                (41.9%)",429,1
6428,Realtime Interrupt,1995,/wiki/Realtime_Interrupt,20,14,"14
                                ·
                                (70%)",84,1
6429,Redemption (Uris novel),1995,/wiki/Redemption_(Uris_novel),43,32,"20
                                ·
                                (46.5%)",125,0
6430,Relic (novel),1995,/wiki/Relic_(novel),266,158,"77
                                ·
                                (28.9%)",2540,14
6431,Remake (novel),1995,/wiki/Remake_(novel),37,32,"14
                                ·
                                (37.8%)",42,1
6432,Rescued from Paradise,1995,/wiki/Rescued_from_Paradise,28,18,"20
                                ·
                                (71.4%)",394,0
6433,Reservation Blues,1995,/wiki/Reservation_Blues,100,59,"47
                                ·
                                (47%)",261,11
6434,Rider at the Gate,1995,/wiki/Rider_at_the_Gate,46,15,"40
                                ·
                                (87%)",695,0
6435,Riding the Rap,1995,/wiki/Riding_the_Rap,22,16,"16
                                ·
                                (72.7%)",142,0
6436,The Rifle,1995,/wiki/The_Rifle,105,53,"56
                                ·
                                (53.3%)",203,21
6437,Rise of the Robots: The Novel,1995,/wiki/Rise_of_the_Robots:_The_Novel,5,Redirect,"9
                                ·
                                (100%)",2544,0
6438,Roc and a Hard Place,1995,/wiki/Roc_and_a_Hard_Place,48,32,"24
                                ·
                                (50%)",136,1
6439,The Rock Jockeys,1995,/wiki/The_Rock_Jockeys,24,18,"15
                                ·
                                (62.5%)",91,1
